Associated Gene Name	Human Ensembl Gene ID	Human Chromosome Name	Human Gene Start (bp)	Human Gene End (bp)	Anole Ensembl Gene ID	Anole Chromosome Name	Anole Chromosome Start (bp)	Anole Chromosome End (bp)	Homology Type
PHGDH	ENSG00000092621	1	120202421	120286838	ENSACAG00000009931	GL343782.1	135001	158400	ortholog_one2one
HMGCS2	ENSG00000134240	1	120290619	120311528	ENSACAG00000009863	GL343782.1	104365	134893	ortholog_one2one
PDE4DIP	ENSG00000178104	1	144836157	145076186	ENSACAG00000013127	4	73602822	73740293	ortholog_one2one
TXNIP	ENSG00000117289	1	145438469	145442635	ENSACAG00000001167	AAWZ02041877	2101	4231	ortholog_one2one
GNRHR2	ENSG00000211451	1	145509752	145516076	ENSACAG00000004483	GL343392.1	154947	160284	apparent_ortholog_one2one
PEX11B	ENSG00000131779	1	145516252	145523730	ENSACAG00000014389	AAWZ02039326	21	4994	ortholog_one2one
ITGA10	ENSG00000143127	1	145524891	145543868	ENSACAG00000014997	AAWZ02040308	703	6941	ortholog_one2one
PIAS3	ENSG00000131788	1	145575233	145586546	ENSACAG00000013782	AAWZ02037198	80	14535	ortholog_one2one
RNF115	ENSG00000121848	1	145611036	145690661	ENSACAG00000015047	GL344903.1	12512	15275	ortholog_one2one
PDZK1	ENSG00000174827	1	145726918	145764074	ENSACAG00000014019	3	161929548	161954814	ortholog_one2one
PRKAB2	ENSG00000131791	1	146626685	146644129	ENSACAG00000013182	4	73746163	73752519	ortholog_one2one
CHD1L	ENSG00000131778	1	146714291	146767443	ENSACAG00000017686	2	82699886	82747244	ortholog_one2one
BCL9	ENSG00000116128	1	147013182	147098017	ENSACAG00000013842	3	162122064	162153631	ortholog_one2one
ACP6	ENSG00000162836	1	147119170	147142618	ENSACAG00000013881	3	162104656	162119235	ortholog_one2one
GJA5	ENSG00000143140	1	147228332	147245484	ENSACAG00000013936	3	162064623	162065735	ortholog_one2one
GJA8	ENSG00000121634	1	147374946	147381393	ENSACAG00000013946	3	161995199	161996428	ortholog_one2one
HIST2H3A	ENSG00000203852	1	149824181	149825836	ENSACAG00000003388	GL343466.1	238996	239406	apparent_ortholog_one2one
HIST2H4B	ENSG00000182217	1	149825607	149832714	ENSACAG00000004698	GL343400.1	415743	416054	ortholog_one2one
HIST2H2AB	ENSG00000184270	1	149859019	149859466	ENSACAG00000015302	GL343252.1	1812424	1812813	ortholog_one2one
SF3B4	ENSG00000143368	1	149895209	149900236	ENSACAG00000010019	GL344255.1	8955	25378	ortholog_one2one
MTMR11	ENSG00000014914	1	149900543	149908791	ENSACAG00000027514	GL344255.1	43391	50603	ortholog_one2one
OTUD7B	ENSG00000163113	1	149912231	149982625	ENSACAG00000003235	GL344508.1	4050	36511	ortholog_one2one
VPS45	ENSG00000136631	1	150039369	150117505	ENSACAG00000011298	GL345017.1	21	12645	ortholog_one2one
PLEKHO1	ENSG00000023902	1	150121373	150132260	ENSACAG00000017599	AAWZ02038095	1819	3661	ortholog_one2one
ANP32E	ENSG00000143401	1	150190717	150208504	ENSACAG00000008040	GL343697.1	230435	241275	ortholog_one2one
CA14	ENSG00000118298	1	150230169	150237478	ENSACAG00000008087	GL343697.1	5075	34228	ortholog_one2one
APH1A	ENSG00000117362	1	150237804	150241980	ENSACAG00000008083	GL343697.1	64992	91377	ortholog_one2one
C1orf51	ENSG00000159208	1	150254953	150259505	ENSACAG00000003281	GL343802.1	3625	10477	ortholog_one2one
MRPS21	ENSG00000187145	1	150266289	150281414	ENSACAG00000003279	GL343802.1	16736	24810	ortholog_one2one
PRPF3	ENSG00000117360	1	150293925	150325671	ENSACAG00000003176	GL343802.1	26349	60195	ortholog_one2one
RPRD2	ENSG00000163125	1	150335567	150449042	ENSACAG00000003131	GL343802.1	84699	104349	ortholog_one2one
TARS2	ENSG00000143374	1	150459887	150480078	ENSACAG00000003076	GL343802.1	115686	171078	ortholog_one2one
ECM1	ENSG00000143369	1	150480538	150486265	ENSACAG00000001773	AAWZ02039112	4481	7077	ortholog_one2one
ADAMTSL4	ENSG00000143382	1	150521884	150533413	ENSACAG00000001783	GL343616.1	126064	185795	ortholog_one2one
MCL1	ENSG00000143384	1	150547032	150552066	ENSACAG00000008755	GL343779.1	45963	137682	ortholog_one2one
ENSA	ENSG00000143420	1	150573327	150602088	ENSACAG00000023267	GL343779.1	157796	166014	ortholog_one2one
GOLPH3L	ENSG00000143457	1	150618701	150669630	ENSACAG00000008661	GL343862.1	74320	91999	ortholog_one2one
HORMAD1	ENSG00000143452	1	150670536	150693364	ENSACAG00000008696	GL343862.1	43527	61301	ortholog_one2one
CTSS	ENSG00000163131	1	150702551	150738433	ENSACAG00000008703	GL343862.1	16639	38667	ortholog_one2one
CTSK	ENSG00000143387	1	150768684	150780799	ENSACAG00000008771	GL343862.1	1552	9064	ortholog_one2one
ARNT	ENSG00000143437	1	150782181	150849244	ENSACAG00000011254	GL343893.1	6854	47998	ortholog_one2one
SETDB1	ENSG00000143379	1	150898739	150937213	ENSACAG00000011992	GL343893.1	58321	124103	ortholog_one2one
CERS2	ENSG00000143418	1	150933059	150947479	ENSACAG00000011997	GL343893.1	124535	141147	ortholog_one2one
FAM63A	ENSG00000143409	1	150969025	150980851	ENSACAG00000005862	GL344087.1	12379	19199	ortholog_one2one
PRUNE	ENSG00000143363	1	150980896	151008189	ENSACAG00000005905	GL344087.1	38720	64263	ortholog_one2one
BNIPL	ENSG00000163141	1	151009046	151020076	ENSACAG00000008265	AAWZ02041417	323	5689	ortholog_one2one
CDC42SE1	ENSG00000197622	1	151023447	151032249	ENSACAG00000022941	AAWZ02040816	552	668	ortholog_one2one
GABPB2	ENSG00000143458	1	151043054	151098018	ENSACAG00000004010	AAWZ02037815	4253	13599	ortholog_one2one
SEMA6C	ENSG00000143434	1	151104161	151119104	ENSACAG00000006347	GL344595.1	3663	15448	ortholog_one2one
TNFAIP8L2	ENSG00000163154	1	151129105	151132225	ENSACAG00000014722	GL343668.1	211517	212077	ortholog_one2one
SCNM1	ENSG00000163156	1	151129140	151142773	ENSACAG00000014728	GL343668.1	186484	200440	ortholog_one2one
LYSMD1	ENSG00000163155	1	151132224	151138424	ENSACAG00000014725	GL343668.1	201606	213165	ortholog_one2one
TMOD4	ENSG00000163157	1	151142462	151148760	ENSACAG00000014745	GL343668.1	129460	176583	ortholog_one2one
VPS72	ENSG00000163159	1	151142463	151167797	ENSACAG00000014838	GL343668.1	105214	123480	ortholog_one2one
PIP5K1A	ENSG00000143398	1	151170425	151222012	ENSACAG00000014863	GL343668.1	31042	83106	ortholog_one2one
PSMD4	ENSG00000159352	1	151227179	151239955	ENSACAG00000014935	GL343668.1	21	14162	ortholog_one2one
ZNF687	ENSG00000143373	1	151254094	151264656	ENSACAG00000015028	GL343616.1	374779	404583	ortholog_one2one
PI4KB	ENSG00000143393	1	151264273	151300191	ENSACAG00000001925	GL343616.1	192489	279536	ortholog_one2one
RFX5	ENSG00000143390	1	151313116	151319833	ENSACAG00000029645	GL343779.1	96597	106422	ortholog_one2one
PSMB4	ENSG00000159377	1	151372010	151374420	ENSACAG00000011542	GL343554.1	300115	303884	ortholog_one2one
POGZ	ENSG00000143442	1	151375200	151431941	ENSACAG00000011494	GL343554.1	195603	378176	ortholog_one2one
TUFT1	ENSG00000143367	1	151512781	151556059	ENSACAG00000011745	GL343554.1	100397	155797	ortholog_one2one
SNX27	ENSG00000143376	1	151584541	151671567	ENSACAG00000008754	GL343554.1	25173	52965	ortholog_one2one
MRPL9	ENSG00000143436	1	151732119	151736040	ENSACAG00000022381	GL345049.1	34613	40120	ortholog_one2one
OAZ3	ENSG00000143450	1	151735445	151743808	ENSACAG00000029286	GL344382.1	15885	21562	ortholog_one2one
TDRKH	ENSG00000182134	1	151742583	151763892	ENSACAG00000007457	AAWZ02036993	2734	19631	ortholog_one2one
RORC	ENSG00000143365	1	151778547	151804348	ENSACAG00000004098	GL344174.1	18718	28995	ortholog_one2one
C2CD4D	ENSG00000225556	1	151810295	151813033	ENSACAG00000000587	GL344049.1	4825	5784	ortholog_one2one
THEM4	ENSG00000159445	1	151846060	151882284	ENSACAG00000000594	GL344049.1	19514	22505	ortholog_one2one
S100A10	ENSG00000197747	1	151955391	151966866	ENSACAG00000000615	GL344049.1	38461	39863	ortholog_one2one
S100A11	ENSG00000163191	1	152004982	152020383	ENSACAG00000000617	GL344049.1	72436	84522	ortholog_one2one
TCHH	ENSG00000159450	1	152078793	152086556	ENSACAG00000024280	AAWZ02035786	13349	16549	ortholog_one2one
CHTOP	ENSG00000160679	1	153606525	153618782	ENSACAG00000011482	GL344732.1	9144	22166	ortholog_one2one
SNAPIN	ENSG00000143553	1	153631130	153634306	ENSACAG00000025493	GL344732.1	2030	5397	ortholog_one2one
NPR1	ENSG00000169418	1	153651113	153666468	ENSACAG00000013114	GL344609.1	16140	23785	ortholog_one2one
INTS3	ENSG00000143624	1	153700543	153746555	ENSACAG00000011196	AAWZ02040536	1804	6713	ortholog_one2one
GATAD2B	ENSG00000143614	1	153777201	153895451	ENSACAG00000008791	GL343864.1	50857	117579	ortholog_one2one
DENND4B	ENSG00000198837	1	153901977	153919172	ENSACAG00000008848	GL343864.1	4870	48030	ortholog_one2one
SLC39A1	ENSG00000143570	1	153931575	153940188	ENSACAG00000010411	AAWZ02040249	1048	3180	ortholog_one2one
RPS27	ENSG00000177954	1	153963235	153964626	ENSACAG00000011604	GL343805.1	101551	103790	ortholog_one2one
NUP210L	ENSG00000143552	1	153965161	154127592	ENSACAG00000011637	GL343805.1	57187	100770	ortholog_one2one
TPM3	ENSG00000143549	1	154127784	154167124	ENSACAG00000010562	GL344238.1	6227	9201	ortholog_one2one
C1orf43	ENSG00000143612	1	154179182	154193104	ENSACAG00000010571	GL344238.1	26000	35192	ortholog_one2one
UBAP2L	ENSG00000143569	1	154192655	154243986	ENSACAG00000010587	GL344238.1	45779	67042	ortholog_one2one
HAX1	ENSG00000143575	1	154244987	154248351	ENSACAG00000026746	GL343805.1	129660	139977	ortholog_one2one
AQP10	ENSG00000143595	1	154293566	154297801	ENSACAG00000011521	GL343805.1	141609	152650	ortholog_one2one
ATP8B2	ENSG00000143515	1	154298029	154323783	ENSACAG00000011266	GL343805.1	152765	191822	ortholog_one2one
CHRNB2	ENSG00000160716	1	154540257	154552502	ENSACAG00000015594	GL344076.1	74115	84434	ortholog_one2one
ADAR	ENSG00000160710	1	154554538	154600475	ENSACAG00000015640	AAWZ02039319	505	8836	ortholog_one2one
KCNN3	ENSG00000143603	1	154679902	154842756	ENSACAG00000015700	GL344076.1	3888	8189	ortholog_one2one
PYGO2	ENSG00000163348	1	154929502	154936329	ENSACAG00000015741	GL344009.1	9426	16499	ortholog_one2one
SHC1	ENSG00000160691	1	154934774	154946871	ENSACAG00000015799	GL344009.1	23067	31870	ortholog_one2one
FLAD1	ENSG00000160688	1	154955814	154965587	ENSACAG00000016004	GL344514.1	24138	30430	ortholog_one2one
ZBTB7B	ENSG00000160685	1	154975127	154990998	ENSACAG00000022986	AAWZ02038334	1944	6667	ortholog_one2one
DPM3	ENSG00000179085	1	155112367	155113071	ENSACAG00000008811	AAWZ02039190	6779	7060	ortholog_one2one
KRTCAP2	ENSG00000163463	1	155141884	155159747	ENSACAG00000026489	AAWZ02041356	2450	5594	ortholog_one2one
MUC1	ENSG00000185499	1	155158300	155162707	ENSACAG00000001398	GL345105.1	1116	14092	ortholog_one2one
THBS3	ENSG00000169231	1	155165379	155178842	ENSACAG00000002369	GL344370.1	23359	42934	ortholog_one2one
MTX1	ENSG00000173171	1	155178490	155183614	ENSACAG00000002283	GL344370.1	8142	15911	ortholog_one2one
SCAMP3	ENSG00000116521	1	155225770	155232221	ENSACAG00000002697	GL343519.1	496258	525205	ortholog_one2one
CLK2	ENSG00000176444	1	155232659	155248282	ENSACAG00000002517	GL343519.1	550162	567209	ortholog_one2one
RUSC1	ENSG00000160753	1	155290687	155300905	ENSACAG00000003450	GL343519.1	250386	280030	ortholog_one2one
ASH1L	ENSG00000116539	1	155305059	155532598	ENSACAG00000003417	GL343519.1	282248	338913	ortholog_one2one
MSTO1	ENSG00000125459	1	155579979	155718153	ENSACAG00000003252	GL343519.1	366887	379711	ortholog_one2one
DAP3	ENSG00000132676	1	155657751	155708803	ENSACAG00000003347	GL343519.1	357140	363781	ortholog_one2one
SYT11	ENSG00000132718	1	155829300	155854990	ENSACAG00000002920	GL343519.1	440899	446199	ortholog_one2one
RIT1	ENSG00000143622	1	155867599	155881195	ENSACAG00000021104	GL343519.1	454683	463607	ortholog_one2one
KIAA0907	ENSG00000132680	1	155882834	155904191	ENSACAG00000002820	GL343519.1	470048	495921	ortholog_one2one
ARHGEF2	ENSG00000116584	1	155916645	155966129	ENSACAG00000016456	AAWZ02038914	24	9267	ortholog_one2one
MEX3A	ENSG00000254726	1	156046280	156051789	ENSACAG00000003739	AAWZ02037012	2118	3260	ortholog_one2one
SMG5	ENSG00000198952	1	156219015	156252616	ENSACAG00000015999	GL344710.1	3910	21965	ortholog_one2one
TMEM79	ENSG00000163472	1	156252726	156262976	ENSACAG00000013022	GL344271.1	3114	20276	ortholog_one2one
C1orf85	ENSG00000198715	1	156259880	156265463	ENSACAG00000013034	GL344271.1	16101	30002	ortholog_one2one
CCT3	ENSG00000163468	1	156278759	156337664	ENSACAG00000013171	AAWZ02036469	10145	26448	ortholog_one2one
TTC24	ENSG00000187862	1	156549519	156556562	ENSACAG00000011956	AAWZ02038730	4221	7737	ortholog_one2one
APOA1BP	ENSG00000163382	1	156561554	156564091	ENSACAG00000027313	GL345062.1	1975	7741	ortholog_one2one
GPATCH4	ENSG00000160818	1	156564279	156571288	ENSACAG00000026359	GL345062.1	6286	12140	ortholog_one2one
BCAN	ENSG00000132692	1	156611182	156629324	ENSACAG00000004876	AAWZ02037112	2066	18007	ortholog_one2one
CRABP2	ENSG00000143320	1	156669398	156675608	ENSACAG00000015454	GL343640.1	281418	302267	ortholog_one2one
ISG20L2	ENSG00000143319	1	156691683	156698591	ENSACAG00000015444	GL343640.1	245101	249189	ortholog_one2one
RRNAD1	ENSG00000143303	1	156698234	156706752	ENSACAG00000015424	GL343640.1	229012	240755	ortholog_one2one
MRPL24	ENSG00000143314	1	156707095	156711382	ENSACAG00000015408	GL343640.1	222232	228677	ortholog_one2one
PRCC	ENSG00000143294	1	156720402	156770607	ENSACAG00000009320	GL343637.1	84596	95869	ortholog_one2one
NTRK1	ENSG00000198400	1	156785432	156851642	ENSACAG00000014949	GL343640.1	3197	125548	ortholog_one2one
INSRR	ENSG00000027644	1	156809855	156828810	ENSACAG00000015162	GL343640.1	174478	220161	ortholog_one2one
PEAR1	ENSG00000187800	1	156863490	156886226	ENSACAG00000015085	GL343640.1	135964	174404	ortholog_one2one
LRRC71	ENSG00000160838	1	156890442	156902886	ENSACAG00000015648	GL343637.1	259326	280545	ortholog_one2one
ARHGEF11	ENSG00000132694	1	156904632	157015162	ENSACAG00000015541	GL343637.1	213186	260028	ortholog_one2one
ETV3L	ENSG00000253831	1	157061836	157069600	ENSACAG00000015538	GL343637.1	169203	172408	ortholog_one2one
ETV3	ENSG00000117036	1	157090983	157108266	ENSACAG00000015522	GL343637.1	129325	145546	ortholog_one2one
KIRREL	ENSG00000183853	1	157963063	158070052	ENSACAG00000011026	GL344594.1	14413	27119	ortholog_one2one
OR6Y1	ENSG00000197532	1	158516918	158517895	ENSACAG00000022124	GL343253.1	700359	701748	ortholog_one2one
DUSP23	ENSG00000158716	1	159750722	159752333	ENSACAG00000000611	GL344296.1	37466	39681	ortholog_one2one
VSIG8	ENSG00000243284	1	159824106	159832447	ENSACAG00000025394	GL344002.1	16313	25652	ortholog_one2one
CCDC19	ENSG00000213085	1	159842154	159869953	ENSACAG00000003229	GL344387.1	29585	43742	ortholog_one2one
IGSF9	ENSG00000085552	1	159896829	159915386	ENSACAG00000009099	GL344498.1	935	25604	ortholog_one2one
PIGM	ENSG00000143315	1	159997462	160001783	ENSACAG00000003466	1	216582886	216584154	ortholog_one2one
KCNJ9	ENSG00000162728	1	160051360	160060353	ENSACAG00000016136	GL344012.1	50317	58063	ortholog_one2one
IGSF8	ENSG00000162729	1	160061130	160068733	ENSACAG00000016110	GL344012.1	24819	47881	ortholog_one2one
ATP1A2	ENSG00000018625	1	160085549	160113381	ENSACAG00000015855	GL344724.1	1098	20783	ortholog_one2one
CASQ1	ENSG00000143318	1	160160285	160171676	ENSACAG00000015755	GL344023.1	59279	87422	ortholog_one2one
COPA	ENSG00000122218	1	160259063	160313190	ENSACAG00000016256	AAWZ02039946	278	5338	ortholog_one2one
NCSTN	ENSG00000162736	1	160313062	160328742	ENSACAG00000016223	GL343878.1	117465	128163	ortholog_one2one
VANGL2	ENSG00000162738	1	160370376	160398468	ENSACAG00000012063	GL344741.1	43218	50193	ortholog_one2one
TSTD1	ENSG00000215845	1	161007421	161008780	ENSACAG00000010359	1	171721582	171725062	apparent_ortholog_one2one
KLHDC9	ENSG00000162755	1	161068151	161070136	ENSACAG00000007549	AAWZ02040441	21	6850	ortholog_one2one
DEDD	ENSG00000158796	1	161090764	161102478	ENSACAG00000017456	GL344298.1	6465	24954	ortholog_one2one
UFC1	ENSG00000143222	1	161122566	161128646	ENSACAG00000004283	GL343781.1	17430	22011	ortholog_one2one
USP21	ENSG00000143258	1	161129240	161135513	ENSACAG00000004099	GL343781.1	27083	45646	ortholog_one2one
PPOX	ENSG00000143224	1	161136200	161147803	ENSACAG00000004038	GL343781.1	55211	75686	ortholog_one2one
B4GALT3	ENSG00000158850	1	161141100	161147287	ENSACAG00000003984	GL343781.1	81688	99403	ortholog_one2one
ADAMTS4	ENSG00000158859	1	161159538	161168846	ENSACAG00000003892	GL343781.1	132828	144569	ortholog_one2one
NDUFS2	ENSG00000158864	1	161166894	161184185	ENSACAG00000003534	GL343519.1	219460	230032	ortholog_one2one
NR1I3	ENSG00000143257	1	161199456	161208092	ENSACAG00000001535	AAWZ02038821	3457	10280	ortholog_one2one
SDHC	ENSG00000143252	1	161284047	161332984	ENSACAG00000001388	GL344002.1	42287	46452	ortholog_one2one
C1orf192	ENSG00000188931	1	161334521	161337664	ENSACAG00000001381	GL344002.1	33879	42216	ortholog_one2one
DUSP12	ENSG00000081721	1	161719548	161727028	ENSACAG00000008356	GL343218.1	938623	948877	ortholog_one2one
ATF6	ENSG00000118217	1	161736084	161933860	ENSACAG00000001336	4	71076272	71132549	ortholog_one2one
OLFML2B	ENSG00000162745	1	161952982	161993644	ENSACAG00000001250	4	71034684	71063536	ortholog_one2one
SH2D1B	ENSG00000198574	1	162365056	162381928	ENSACAG00000007942	3	169133512	169142444	ortholog_one2one
UAP1	ENSG00000117143	1	162531321	162569627	ENSACAG00000012562	GL343300.1	1138794	1167303	ortholog_one2one
DDR2	ENSG00000162733	1	162601163	162750237	ENSACAG00000012439	GL343300.1	1081483	1135581	ortholog_one2one
HSD17B7	ENSG00000132196	1	162760492	162782607	ENSACAG00000012384	GL343300.1	1050153	1072291	ortholog_one2one
RGS5	ENSG00000143248	1	163080911	163187426	ENSACAG00000007160	4	71221035	71244291	ortholog_one2one
NUF2	ENSG00000143228	1	163236366	163325554	ENSACAG00000005798	GL343405.1	330568	361941	ortholog_one2one
PBX1	ENSG00000185630	1	164524821	164868533	ENSACAG00000005840	GL343405.1	648257	873799	ortholog_one2one
LMX1A	ENSG00000162761	1	165171104	165325952	ENSACAG00000004557	GL343198.1	4362241	4461707	apparent_ortholog_one2one
RXRG	ENSG00000143171	1	165370159	165414433	ENSACAG00000028739	GL344340.1	6385	31434	apparent_ortholog_one2one
MGST3	ENSG00000143198	1	165600098	165631033	ENSACAG00000005709	GL343405.1	183574	205426	ortholog_one2one
ALDH9A1	ENSG00000143149	1	165631453	165668100	ENSACAG00000013380	4	73921938	73943071	ortholog_one2one
TMCO1	ENSG00000143183	1	165696032	165796992	ENSACAG00000013299	4	73812906	73827466	ortholog_one2one
UCK2	ENSG00000143179	1	165796768	165880855	ENSACAG00000013321	4	73841376	73859413	ortholog_one2one
FAM78B	ENSG00000188859	1	166026674	166136206	ENSACAG00000013367	4	73878753	73890364	ortholog_one2one
POGK	ENSG00000143157	1	166808681	166825581	ENSACAG00000014484	GL343575.1	139206	143374	ortholog_one2one
TADA1	ENSG00000152382	1	166825747	166845564	ENSACAG00000015521	4	71264332	71283000	ortholog_one2one
ILDR2	ENSG00000143195	1	166887996	166944719	ENSACAG00000009692	3	163279612	163354666	ortholog_one2one
GPA33	ENSG00000143167	1	167022073	167059868	ENSACAG00000009675	3	163399577	163419719	ortholog_one2one
DUSP27	ENSG00000198842	1	167063282	167098402	ENSACAG00000009644	3	163450300	163456853	ortholog_one2one
POU2F1	ENSG00000143190	1	167190066	167396582	ENSACAG00000009565	3	163498672	163661906	ortholog_one2one
CD247	ENSG00000198821	1	167399877	167487847	ENSACAG00000009498	3	163681372	163689097	ortholog_one2one
CREG1	ENSG00000143162	1	167498914	167523004	ENSACAG00000009495	3	163782762	163784628	ortholog_one2one
RCSD1	ENSG00000198771	1	167599330	167675486	ENSACAG00000009481	3	163825318	163831683	ortholog_one2one
MPZL1	ENSG00000197965	1	167690429	167761156	ENSACAG00000009451	3	163918442	163931585	ortholog_one2one
ADCY10	ENSG00000143199	1	167778625	167883453	ENSACAG00000005750	GL343405.1	232864	326132	ortholog_one2one
MPC2	ENSG00000143158	1	167885967	167906278	ENSACAG00000009422	3	163939192	163953009	ortholog_one2one
DCAF6	ENSG00000143164	1	167905021	168045081	ENSACAG00000009329	3	163953859	164003640	ortholog_one2one
GPR161	ENSG00000143147	1	168053997	168106821	ENSACAG00000010751	GL343317.1	705627	709955	ortholog_one2one
TIPRL	ENSG00000143155	1	168148171	168169950	ENSACAG00000010725	3	175089188	175096042	ortholog_one2one
SFT2D2	ENSG00000213064	1	168195176	168212378	ENSACAG00000010720	3	175104604	175123679	ortholog_one2one
TBX19	ENSG00000143178	1	168250278	168283664	ENSACAG00000010693	3	175139922	175161625	ortholog_one2one
DPT	ENSG00000143196	1	168664697	168698502	ENSACAG00000010681	3	175336625	175355099	ortholog_one2one
ATP1B1	ENSG00000143153	1	169074935	169101960	ENSACAG00000010651	3	175500855	175535157	ortholog_one2one
NME7	ENSG00000143156	1	169101769	169337205	ENSACAG00000010597	3	175559948	175648592	ortholog_one2one
BLZF1	ENSG00000117475	1	169337208	169365778	ENSACAG00000010576	3	175648907	175663334	ortholog_one2one
C1orf114	ENSG00000117477	1	169364108	169429907	ENSACAG00000010560	3	175662456	175676301	ortholog_one2one
SLC19A2	ENSG00000117479	1	169433147	169455241	ENSACAG00000010527	3	175681573	175699943	ortholog_one2one
F5	ENSG00000198734	1	169483404	169555826	ENSACAG00000010312	3	175701753	175761188	ortholog_one2one
SELP	ENSG00000174175	1	169558087	169599431	ENSACAG00000001403	4	71136636	71174852	ortholog_one2one
C1orf112	ENSG00000000460	1	169631245	169823221	ENSACAG00000008308	2	94200823	94237886	apparent_ortholog_one2one
SCYL3	ENSG00000000457	1	169821804	169863408	ENSACAG00000012830	GL343300.1	1401211	1427034	ortholog_one2one
KIFAP3	ENSG00000075945	1	169890467	170054349	ENSACAG00000012884	GL343300.1	1429951	1484029	ortholog_one2one
METTL11B	ENSG00000203740	1	170115142	170136931	ENSACAG00000012993	GL343300.1	1489664	1504430	ortholog_one2one
GORAB	ENSG00000120370	1	170501270	170522587	ENSACAG00000013005	GL343300.1	1506937	1518359	ortholog_one2one
FMO2	ENSG00000094963	1	171154347	171181822	ENSACAG00000013187	GL343300.1	1612158	1631991	ortholog_one2one
FMO1	ENSG00000010932	1	171217638	171255117	ENSACAG00000028759	GL343300.1	1636634	1660289	ortholog_one2one
FMO4	ENSG00000076258	1	171283347	171311223	ENSACAG00000013320	GL343959.1	53352	72644	ortholog_one2one
PRRC2C	ENSG00000117523	1	171454651	171562650	ENSACAG00000029194	GL343300.1	1228492	1310835	ortholog_one2one
VAMP4	ENSG00000117533	1	171669300	171711387	ENSACAG00000012702	GL343300.1	1199822	1203605	ortholog_one2one
METTL13	ENSG00000010165	1	171750788	171783163	ENSACAG00000012638	GL343300.1	1168244	1183995	ortholog_one2one
PIGC	ENSG00000135845	1	172339329	172413230	ENSACAG00000013349	GL343959.1	81027	81926	ortholog_one2one
FASLG	ENSG00000117560	1	172628154	172636014	ENSACAG00000026155	GL343300.1	1381150	1388978	ortholog_one2one
PRDX6	ENSG00000117592	1	173446405	173457946	ENSACAG00000015491	4	71284129	71304057	ortholog_one2one
ANKRD45	ENSG00000183831	1	173578700	173639001	ENSACAG00000015479	4	71295801	71310407	ortholog_one2one
KLHL20	ENSG00000076321	1	173684080	173755840	ENSACAG00000015445	4	71309331	71337011	ortholog_one2one
CENPL	ENSG00000120334	1	173768688	173793858	ENSACAG00000015439	4	71335453	71355560	ortholog_one2one
DARS2	ENSG00000117593	1	173793641	173827684	ENSACAG00000015426	4	71356025	71376290	ortholog_one2one
ZBTB37	ENSG00000185278	1	173837220	173866494	ENSACAG00000015410	4	71400332	71409206	ortholog_one2one
SERPINC1	ENSG00000117601	1	173872947	173886516	ENSACAG00000015348	4	71428264	71441485	ortholog_one2one
RABGAP1L	ENSG00000152061	1	174128548	174964445	ENSACAG00000015106	4	71544420	71716690	ortholog_one2one
CACYBP	ENSG00000116161	1	174968300	174980851	ENSACAG00000015077	4	71725884	71732467	ortholog_one2one
MRPS14	ENSG00000120333	1	174979925	174992561	ENSACAG00000023212	4	71736104	71740534	ortholog_one2one
TNN	ENSG00000120332	1	175036994	175117202	ENSACAG00000015034	4	71753438	71821158	ortholog_one2one
TNR	ENSG00000116147	1	175291935	175712906	ENSACAG00000014785	4	71897527	72045815	ortholog_one2one
RFWD2	ENSG00000143207	1	175913967	176176629	ENSACAG00000014695	4	72640271	72715531	ortholog_one2one
PAPPA2	ENSG00000116183	1	176432307	176814735	ENSACAG00000014663	4	72806606	72949287	ortholog_one2one
ASTN1	ENSG00000152092	1	176826438	177134109	ENSACAG00000014579	4	72962994	73248665	ortholog_one2one
FAM5B	ENSG00000198797	1	177140633	177251558	ENSACAG00000014442	4	73312229	73440477	ortholog_one2one
SEC16B	ENSG00000120341	1	177896701	177939348	ENSACAG00000012601	GL343300.1	57305	116059	ortholog_one2one
RASAL2	ENSG00000075391	1	178062864	178448644	ENSACAG00000012811	GL343300.1	225967	517794	ortholog_one2one
RALGPS2	ENSG00000116191	1	178694300	178889238	ENSACAG00000012902	GL343300.1	567597	702788	ortholog_one2one
ANGPTL1	ENSG00000116194	1	178818840	178840187	ENSACAG00000013089	GL343300.1	643467	658447	ortholog_one2one
FAM20B	ENSG00000116199	1	178994939	179045697	ENSACAG00000013109	GL343300.1	765562	790672	ortholog_one2one
TOR3A	ENSG00000186283	1	179050512	179067158	ENSACAG00000012264	GL343300.1	878441	903555	ortholog_one2one
ABL2	ENSG00000143322	1	179068462	179198819	ENSACAG00000012151	GL343300.1	844869	866104	ortholog_one2one
SOAT1	ENSG00000057252	1	179262925	179327815	ENSACAG00000028257	GL343300.1	903481	950041	ortholog_one2one
AXDND1	ENSG00000162779	1	179334855	179523870	ENSACAG00000012335	GL343300.1	956790	1022853	ortholog_one2one
NPHS2	ENSG00000116218	1	179519674	179545087	ENSACAG00000012336	GL343300.1	1028329	1041608	ortholog_one2one
TDRD5	ENSG00000162782	1	179560748	179660407	ENSACAG00000001245	4	70967973	71014839	ortholog_one2one
FAM163A	ENSG00000143340	1	179712298	179785333	ENSACAG00000001220	4	70772959	70779980	ortholog_one2one
TOR1AIP2	ENSG00000169905	1	179809102	179846934	ENSACAG00000001161	4	70661893	70678866	ortholog_one2one
TOR1AIP1	ENSG00000143337	1	179851177	179888412	ENSACAG00000028892	4	70638378	70655513	ortholog_one2one
